,id,name,bic,transaction_total_days,countries,logo
0,ALTO_ADIGE_BANCA_SUDTIROL_BANK_ALOAIT21,Alto Adige Banca – Sudtirol Bank,ALOAIT21,90,['IT'],https://cdn.nordigen.com/ais/ALTO_ADIGE_BANCA_SUDTIROL_BANK_ALOAIT21.png
1,BANCA_CILENTO_VALLO_DI_DIANO_E_LUCANIA_ICRAITRR4A0,"Banca 2021 - Cilento, Vallo Di Diano E Lucania",ICRAITRR4A0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_CILENTO_VALLO_DI_DIANO_E_LUCANIA_ICRAITRR4A0.png
2,BANCA_ADRIA_COLLI_EUGANEI_CCRTIT2T97A,Banca Adria Colli Euganei,CCRTIT2T97A,90,['IT'],https://cdn.nordigen.com/ais/BANCA_ADRIA_COLLI_EUGANEI_CCRTIT2T97A.png
3,AGRICOLA_RAGUSA_POPRIT31,Banca Agricola Popolare di Ragusa,POPRIT31,730,['IT'],https://cdn.nordigen.com/ais/AGRICOLA_RAGUSA_POPRIT31.png
4,BANCA_AKROS_AKROITMM,Banca Akros,AKROITMM,90,['IT'],https://cdn.nordigen.com/ais/BANCA_AKROS_AKROITMM.png
5,BANCA_ALETTI_ALETITMM,Banca Aletti,ALETITMM,90,['IT'],https://cdn.nordigen.com/ais/_BANCA_ALETTI_ALETITMM.png
6,BANCA_ALPI_MARITTIME_CARRU_ICRAITRRCI0,Banca Alpi Marittime Carrù,ICRAITRRCI0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_ALPI_MARITTIME_CARRU_ICRAITRRCI0.png
7,BANCA_ALTA_TOSCANA_ICRAITRRPM0,Banca Alta Toscana,ICRAITRRPM0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_ALTA_TOSCANA_ICRAITRRPM0.png
8,BANCA_ALTO_VICENTINO_CREDITO_COOPERATIVO_DI_SCHIO_PEDEMONTE_E_ROANA_CCRTIT2TF01,"Banca Alto Vicentino Credito Cooperativo Di Schio, Pedemonte E Roana",CCRTIT2TF01,90,['IT'],https://cdn.nordigen.com/ais/BANCA_ALTO_VICENTINO_CREDITO_COOPERATIVO_DI_SCHIO_PEDEMONTE_E_ROANA_CCRTIT2TF01.png
9,BANCA_ANNIA_CRED_COOP_CARTURA_E_POLESINE_ICRAITRRCK0,Banca Annia Cred. Coop. Cartura E Polesine,ICRAITRRCK0,90,['IT'],https://cdn.nordigen.com/ais/BANCA_ANNIA_CRED_COOP_CARTURA_E_POLESINE_ICRAITRRCK0.png
10,BANCA_CARIGE_CRGEITGG,Banca Carige,CRGEITGG,90,['IT'],https://cdn.nordigen.com/ais/BANCA_CARIGE_CRGEITGG.png
11,BANCA_CENTRO_EMILIA_CCRTIT2TBCE,Banca Centro Emilia,CCRTIT2TBCE,90,['IT'],https://cdn.nordigen.com/ais/BANCA_CENTRO_EMILIA_CCRTIT2TBCE.png
12,BANCA_CENTRO_LAZIO_CCRTIT2TBCL,Banca Centro Lazio,CCRTIT2TBCL,90,['IT'],https://cdn.nordigen.com/ais/BANCA_CENTRO_LAZIO_CCRTIT2TBCL.png
13,BANCA_CENTRO_CREDITO_COOPERATIVO_TOSCANA_UMBRIA_SOC_COOP_ICRAITRRTV0,Banca Centro – Credito Cooperativo Toscana – Umbria Soc. Coop,ICRAITRRTV0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_CENTRO_CREDITO_COOPERATIVO_TOSCANA_UMBRIA_SOC_COOP_ICRAITRRTV0.png
14,BANCA_CENTROPADANA_ICRAITRR900,Banca Centropadana,ICRAITRR900,365,['IT'],https://cdn.nordigen.com/ais/BANCA_CENTROPADANA_ICRAITRR900.png
15,BANCA_CESARE_BCEPITMM,Banca Cesare Ponti,BCEPITMM,90,['IT'],https://cdn.nordigen.com/ais/BANCA_CESARE_BCEPITMM.png
16,BANCA_CREMASCA_E_MANTOVANA_ICRAITRRTW0,Banca Cremasca E Mantovana,ICRAITRRTW0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_CREMASCA_E_MANTOVANA_ICRAITRRTW0.png
17,BANCA_DEI_SIBILLINI_CREDITO_COOPERATIVO_DI_CASAVECCHIA_ICRAITRRCO0,"Banca Dei Sibillini, Credito Cooperativo Di Casavecchia",ICRAITRRCO0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DEI_SIBILLINI_CREDITO_COOPERATIVO_DI_CASAVECCHIA_ICRAITRRCO0.png
18,BANCA_DEL_CATANZARESE_ICRAITRRUB0,Banca Del Catanzarese,ICRAITRRUB0,365,['IT'],https://cdn.nordigen.com/ais/BANCA_DEL_CATANZARESE_ICRAITRRUB0.png
19,BDF_BAFUITRR,Banca del Fucino,BAFUITRR,90,['IT'],https://cdn.nordigen.com/ais/BDF_BAFUITRR.png
