"BIC","LEI"
"AAAARSBGXXX","485100OPHRYKVS35S666"
"AAACKWKWXXX","21380076R9CRDLUI6F41"
"AAAJBG21XXX","213800PBMQ7ZZ7VG4J23"
"AAAOFRP1XXX","969500O1Q4OS43Y24G03"
"AAAPBGS1XXX","4851007D5RB6R4HIV903"
"AAASTHB1XXX","254900YVPIGS9VDRZ124"
"AABAFI22XXX","7437006WYM821IJ3MN73"
"AABBSE22XXX","549300ZHO4JCQQI13M69"
"AABLHKHHXXX","2549006ZQ1MUJIL0VD24"
"AABMIT22XXX","81560021A17F22B84850"
"AABSDE31XXX","529900S1KHKOEQL5CK20"
"AACBFR21XXX","969500GZM2NA85EX9529"
"AACDGB21XXX","213800H89YHJVUSWYG83"
"AACHDE31XXX","529900L1A4DPXZYK5R45"
"AACLZAJJXXX","37890099F792AB3F9782"
"AACOUS31XXX","549300RYYRVPPB8NC636"
"AACSDE33XXX","529900EF55AUET52MH13"
"AAEAFRP1XXX","969500ARP5K4E1MVRE95"
"AAECUS33XXX","549300282HBRKF96QS61"
"AAEMNL21XXX","724500604XSTP9D0NU75"
"AAERITM2XXX","8156002E7371BBFCBD07"
"AAESBGS1XXX","8945007D4ZW9B7R88H71"
"AAFAFRP1XXX","549300EKBBH8KXRTLN69"
"AAFCSEMMXXX","549300CJLSRN0BOE2N78"
"AAFESES2XXX","549300Z8OG67W8DBH881"
"AAFMGB21XXX","F947Y6L7DTLMY45NSP66"
"AAGCUS32XXX","549300UIY3LFCTQ6PR80"
"AAGLUS62XXX","549300L3R6C4MA4YKN89"
"AAIAATW1XXX","529900MCSR2IN3HPK141"
"AAILLUL1XXX","222100C4VOJPC7CJGW54"
"AAINIT21XXX","815600673CEA53303564"
"AAKFSEM1XXX","549300CJLSRN0BOE2N78"
"AAKRDK22XXX","529900AVGYYBVL1VNQ03"
"AALBNL22XXX","549300EMP9DT6Q35HZ31"
"AALEFR22XXX","9695000UVVH809ZNWM50"
"AALHHKH1XXX","5493006XDBBG84Y77S30"
"AALSITT1XXX","81560039C5B1140F2A54"
"AAMAADADXXX","549300367A85XBGZE372"
"AAMAESMMXXX","95980020140005213927"
"AAMALULLXXX","549300RWQNBMB9BHL579"
"AAMGDE2HXXX","529900ZCYVG2XCGFW984"
"AAMHHKH1XXX","254900YEUNPQPWLB1511"
"AAMISEG1XXX","549300SVES86KMRYW688"
"AAMJBGS1XXX","74780000I7F89N4F3281"
"AAMNAU21XXX","P2RDB7VTIK5CW1CMC866"
"AAMSUS31XXX","549300FZB4XB5JCHXV67"
"AANAFRP1XXX","DQ2T0MMUTO0IPF9G9Z35"
"AANAFRP1XXX","635400WJHEN4C4VOVO24"
"AANLGB21XXX","213800GWRS99DHF7K418"
"AANLGB31XXX","213800GWRS99DHF7K418"
"AAOAIT21XXX","815600F3EC59FFEC6594"
"AAOGGB21XXX","2138009E8SY23133YR81"
"AAPAITN1XXX","81560089422510508B85"
"AAPLIT21XXX","815600A6562314270809"
"AAPSIT21XXX","81560053B67B68EEB661"
"AARADE31XXX","529900977LETWLJF3295"
"AARBDE5WXXX","EZKODONU5TYHW4PP1R34"
"AARBFRP1XXX","529900KX8NSKVWTVAP51"
"AARCFRP1XXX","9695004OKYCJGH762G97"
"AARIDE61XXX","529900T56CYNGHJX8T33"
"AASANO21XXX","5967007LIEEXZX79E080"
"AASFFRP1XXX","969500YJY4RI3MLXZB49"
"AATAATW1XXX","529900OSPW5BN7DQQU67"
"AATBITM2XXX","815600F4EBB5B75F1D17"
"AATTITG1XXX","529900TCQ7FK0S55N796"
"AAVEGB22XXX","984500CC363DF4FK5774"
"AAVRIT21XXX","815600F0940B688AA377"
"AAVSIT21XXX","815600530555DC529635"
"AAVULUL1XXX","2221007TDHL8NJ2B3448"
"AAWMFRPPXXX","969500O7C77E2WVAXK44"
"ABAAKHPPXXX","5493003OZ08PS8IJMR09"
"ABAKDK21XXX","549300GO7SF5HVVJOX58"
"ABAOAU41XXX","21380062NCGSFNJ3LR64"
"ABAPIE21XXX","549300EZRLEE2ODR0629"
"ABAVGB21XXX","ITME2JXGKN2DXQ6A9Y56"
"ABBBIT22XXX","8156006ACE25BECB5A97"
"ABBBIT22XXX","5493003EVPD2RJJGZM30"
"ABBCCHZZXXX","54930003MWB3VEJXZE84"
"ABBCNL2AXXX","5493004JXXFB454B6L79"
"ABBGBHBMXXX","549300Q3SVMKOB8NBS80"
"ABBLBDDHXXX","254900GSWZ4BTRAK8C42"
"ABBLINBBXXX","335800VOLFWHZGCROV17"
"ABBVUS44XXX","FR5LCKFTG8054YNNRU85"
"ABBYGB2LXXX","PTCQB104N23FMNK2RZ28"
"ABCBBRSPXXX","549300K1V1WOTCGNSI96"
"ABCBKYKXXXX","549300LY6TO4QO4YFR78"
"ABCCGB22XXX","213800T9OJMZA69QDM04"
"ABCEGB2LXXX","PQEBSF10YW5QXWIKTJ21"
"ABCHHKHHXXX","984500C9G4Z8908C5060"
"ABCJJOAMXXX","5586009NS6VRGXQPUK52"
"ABCKMUMUXXX","13250000000000000980"
"ABCLKENAXXX","213800LMZUA4SYKUZ262"
"ABCOBHBMXXX","213800NCSKH968YFDB88"
"ABCOFRPPXXX","969500090LN710HT1B25"
"ABCOSGSGXXX","549300MUUU8K18347O59"
"ABCOTNTTXXX","2549009SLSAR134AYG98"
"ABCVJOA1XXX","558600W0F2U8Z7N9QX12"
"ABDIAEADXXX","5493006DOLY8O98XHD74"
"ABDIEGCAXXX","549300FMPETKV5WPMW57"
"ABEASDKHXXX","549300BZGC73FHYP9S05"
"ABECGB21XXX","213800CJDKL2HYJGF260"
"ABEGFRP1XXX","969500E0FOS38XJ2E978"
"ABEMAU21XXX","196E9ZZSNIHJQZZY8256"
"ABENUS31XXX","5493001TUUB0GB6K8B25"
"ABERBE22XXX","5493005KJWFEZT2GW729"
"ABFDGB2LXXX","213800XG8GPDDJ61LE20"
"ABFIGB21XXX","213800ZG6QXSK9G9GO74"
"ABFKKYKYXXX","213800I2S1GU26ART714"
"ABFMSGS1XXX","549300FVV8VHKPMMRT38"
"ABGBUS44XXX","ZF85QS7OXKPBG52R7N18"
"ABGOESSEXXX","8ZQH7RR6DBQZIX8PEQ84"
"ABIEBGS1XXX","8945007TB0JVC9EJXT20"
"ABINAEAAXXX","254900DL7PC062J4GT47"
"ABIRESBBXXX","549300GKFVWI02JQ5332"
"ABIVZAJ1XXX","2549008QC5MTGCB0W334"
"ABIXBEBBXXX","5493008H3828EMEXB082"
"ABKBDEBBXXX","391200DOLQBXF4UYLC89"
"ABKFDKK1XXX","549300GO7SF5HVVJOX58"
"ABKKKWKWXXX","254900PGVVLJTOEWLL80"
"ABKLCY2NXXX","529900VS0F7BA91P4I60"
"ABKSDEF1XXX","391200J18BED8HL66D59"
"ABLPLT21XXX","98450048CED1FEB7FP14"
"ABLVLULLXXX","549300EPED91EAR66X32"
"ABMDTRI1XXX","789000UNLEODCST6JF75"
"ABMGMGMGXXX","254900B1TF2LPYRA6J54"
"ABMLITM1XXX","81560050FAF1DB725C41"
"ABMZMZMAXXX","2138004B6ZS1X5867V18"
"ABNABRSPXXX","254900C8AHNB9PNIWL19"
"ABNANL2AXXX","BFXS5XCH7N0Y05NIXW11"
"ABNANL2AXXX","549300D2ZDDLNMDEQ727"
"ABNASGF1XXX","549300KHB4GQQCIN1X35"
"ABNCNL2AXXX","G8ZTNESVNKW4NN761W05"
"ABNGGB2LXXX","5493002IGEWNBCWX0S85"
"ABNGGHACXXX","254900YETXNVD14PJP08"
"ABNGNGLAXXX","029200328C3N9YI2D660"
"ABOCCNBJXXX","549300E7TSGLCOVSY746"
"ABOCLULLXXX","5493000Z65DBUM625D68"
"ABOCRUMMXXX","25340020UL0L3B2R3N51"
"ABOOFIH1XXX","549300BFCJLOU1HWRC77"
"ABPAPKKAXXX","529900X6XIDYH83WGV81"
"ABPGCH21XXX","213800YZBOTFGE38UH93"
"ABPIGB21XXX","549300EI2QZDOKF0UR93"
"ABPNIT22XXX","815600D6F26FEBDF0C66"
"ABPTNL2HXXX","549300XWC21UGFTCR876"
"ABQQQAQAXXX","213800KXAR1MXC1DZ106"
"ABRAITM1XXX","8156009B4E1A08296A35"
"ABRKEGCAXXX","213800O6ACOQMPIVGQ80"
"ABRRIT21XXX","815600CA6500808A9245"
"ABRUIE21XXX","63540047ZYGODPFBLY43"
"ABSAZAJ2XXX","213800CEN8XVF5RLT897"
"ABSAZAJ3XXX","21380061Y9JUANJ4DJ45"
"ABSAZAJJXXX","SLI1CVYMJ21DST0Q8K25"
"ABSBBA22XXX","529900II9UW65S2XHJ20"
"ABSDIDJ1XXX","254900LR9K5SVPP8BP79"
"ABSGAEADXXX","894500UD73S4NGTZLD55"
"ABSGCHGGXXX","5299003O1XGBX95Y6O90"
"ABSLRUMMXXX","253400YGMAHH3EQH3G74"
"ABSNGB21XXX","549300EI2QZDOKF0UR93"
"ABSOCH22XXX","529900IP04I4173GZB60"
"ABSRNOK1XXX","2138005DRCU66B8BNY04"
"ABSYHKH1XXX","549300RBFB4BPRK3BJ06"
